ID,Symptoms,Disease,Recommended Drugs and Dosage,Duration,Food Intake,Precautions
1," Fever, cough, fatigue ", Common cold , Acetaminophen 500mg every 6 hours , 7-10 days ," Increase fluids, chicken soup "," Rest, avoid strenuous activities "
2," Joint pain, stiffness, swelling ", Rheumatoid arthritis , Methotrexate 15mg weekly , Chronic , Anti-inflammatory diet ," Regular exercise, joint protection "
3," Shortness of breath, chest pain ", Pulmonary embolism , Heparin 5000 IU subcutaneously every 8 hours , 5-10 days , Low-fat diet , Avoid prolonged immobility 
4," Excessive thirst, frequent urination ", Type 2 diabetes , Metformin 500mg twice daily , Chronic , Low glycemic index foods , Regular blood sugar monitoring 
5," Skin rash, joint pain, fever ", Lupus , Hydroxychloroquine 200mg twice daily , Chronic ," Balanced diet, omega-3 rich foods "," Sun protection, stress management "
6," Memory loss, confusion, personality changes ", Alzheimer's disease , Donepezil 5mg daily , Chronic , Mediterranean diet ," Cognitive stimulation, safety-proof home "
7," Tremors, stiffness, balance problems ", Parkinson's disease , Levodopa/Carbidopa 25/100mg three times daily , Chronic , High-fiber diet ," Physical therapy, fall prevention "
8," Abdominal pain, diarrhea, weight loss ", Crohn's disease , Mesalamine 4g daily , Chronic , Low-fiber diet during flares ," Quit smoking, stress reduction "
9," Vision problems, eye pain ", Glaucoma , Timolol 0.5% eye drops twice daily , Chronic ," Leafy greens, fish ", Regular eye check-ups 
10," Fatigue, pale skin, shortness of breath ", Iron-deficiency anemia , Ferrous sulfate 325mg three times daily , 3-6 months , Iron-rich foods , Avoid tea/coffee with meals 
11," Muscle weakness, difficulty swallowing ", Myasthenia gravis , Pyridostigmine 60mg every 4 hours , Chronic ," Soft, easy-to-swallow foods ", Avoid overexertion 
12," Skin lesions, nerve damage ", Leprosy , Dapsone 100mg daily + Rifampicin 600mg monthly , 6-12 months , Balanced diet , Regular skin checks 
13," High fever, severe headache, muscle pain ", Dengue fever , Acetaminophen 500mg every 6 hours , 2-7 days , Increase fluids ," Bed rest, mosquito prevention "
14," Excessive sweating, rapid heartbeat ", Hyperthyroidism , Methimazole 10mg three times daily , 12-18 months , Iodine-rich foods ," Avoid caffeine, stress management "
15," Blood in urine, lower back pain ", Kidney stones , Tamsulosin 0.4mg daily , 4-6 weeks , Increase water intake , Limit sodium and animal protein 
16," Jaundice, abdominal pain, fever ", Hepatitis B , Entecavir 0.5mg daily , 48 weeks ," Avoid alcohol, high-protein diet "," Rest, avoid sharing personal items "
17," Irregular heartbeat, shortness of breath ", Atrial fibrillation , Warfarin 5mg daily , Chronic , Vitamin K-consistent diet , Regular INR monitoring 
18," Red, scaly patches on skin ", Psoriasis , Adalimumab 40mg every other week , Chronic , Anti-inflammatory diet ," Moisturize skin, stress reduction "
